PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40749982,B cells are major players in cancer immunity.,2025-Jul-30,Théo Bouloudani; Guilhem Pupier; Catherine Sautès-Fridman; Wolf Herman Fridman,15 rue de l'école de médecine; Équipe labellisée Ligue Contre le Cancer; 15 rue de l'école de Médecine; Centre de Recherche des Cordeliers,
40749953,Copper ionophore enhanced cisplatin efficiency through DLAT-cuprotosis.,2025-Jul-30,Xiujuan Qiu; Qitian Chen,PR China. Electronic address: 15271975717@163.com.; PR China. Electronic address: juanjuanjunxiu@163.com.,
40749898,Astragalin Induces Immunogenic Cell Death in Liver Cancer by Targeting NQO2 to Promote ROS-Mediated Endoplasmic Reticulum Stress Pathway.,2025-Jul-30,Giorgio Ercolani; Zouying Yao; Shiji Fang,China. Electronic address: 470030886@qq.com.; China. Electronic address: fsj1216@163.com.; General and Oncologic Surgery Unit,
40749672,Myeloid cell networks govern re-establishment of original immune landscapes in recurrent ovarian cancer.,2025-Jul-22,Eleonora Ghisoni; Julien Dagher; Giulia Spagnol; Mapi Fleury; Katerina Fortis; Julien Dorier; Mary K Townsend; Stephanie Tissot; Sylvie Rusakiewicz; Lana A Kandalaft; Kathryn L Terry; Shelley S Tworoger; George Coukos; Melissa A Merritt,Center of Experimental Therapeutics; Immuno-oncology Service; Bioinformatics Competence Center; Unit of Translational Oncopathology; Unit of Gynecology and Obstetrics; Obstetrics and Gynecology Epidemiology Center; a joint venture with Cancer Council NSW; Division of Oncological Sciences,
40749666,Polyamines regulate adaptive antitumor immunity by functional specialization of regulatory T cells.,2025-Jul-25,Charles Imbusch; Tobias Bopp,German Cancer Consortium (DKTK),
40749665,Mutations in MLL3 promote breast cancer progression via HIF1α-dependent intratumoral recruitment and differentiation of regulatory T cells.,2025-Jul-29,Wenjun Guo; Gregoire Lauvau,Montefiore Einstein Comprehensive Cancer Center,
40749417,Sex-specific survival in advanced metastatic melanoma - a DeCOG study on 2032 patients of the multicenter prospective skin cancer registry ADOREG.,2025-Jul-29,Triinu Peters; Luisa Sophie Rajcsanyi; Ulrike Leiter; Andrea Forschner; Carmen Loquai; Jürgen C Becker; Alpaslan Tasdogan; Lisa Zimmer; Elisabeth Livingstone; Dirk Schadendorf; Alexander Roesch; Anke Hinney,German Cancer Consortium (DKTK); Gesundheit Nord gGmbH; Centre of Dermatooncology; Section for Molecular Genetics of Mental Disorders,
40749416,Cost-effectiveness analysis of perioperative durvalumab plus platin-based chemotherapy in muscle invasive bladder cancer in Germany.,2025-Jul-10,Constantin Rieger; Jörg Schlüchtermann; Julian Heidenreich; Olivia Steenbock; Florian A Schmid; Richard Weiten; Christian Bach; David Pfister; Axel Heidenreich,Germany. Electronic address: constantin.rieger@uk-koeln.de.; Cologne; Business and Economics; Urologic Oncology,
40749247,Neoadjuvant immunotherapy for nonmetastatic dMMR/MSI colon cancer: a real-world retrospective AGEO study.,2025-Jul-31,C Lemaire; G Manceau; P Girot; L Lellouche; A Saltel-Fulero; C Lagorce-Pages; C Gallois; A Gandini; M Karoui; J Taieb; J Palle,Hôpital Cochin; France. Electronic address: jtaieb75@gmail.com.; CARPEM Comprehensive Cancer Center; France. Electronic address: https://twitter.com/GillesManceau.; France. Electronic address: https://twitter.com/AnnaliceGandini.; roche,
40749055,T,2025-Aug,Linfeng Li; Lang Chen,Center for Inflammation and Epigenetics,
40749035,CD4 T cell therapy counteracts inflammaging and senescence by preserving gut barrier integrity.,2025-Aug,Manuel M Gómez de Las Heras; Elisa Carrasco; Mario Pérez-Manrique; Sandra Delgado-Pulido; Álvaro Fernández-Almeida; María I Gálvez-Castaño; Isaac Francos-Quijorna; Carolina Simó; Virginia García-Cañas; José Ignacio Escrig-Larena; Gonzalo Soto-Heredero; Enrique Gabandé-Rodríguez; Eva María Blanco; María Mittelbrunn,Consejo Superior de Investigaciones Científicas (CSIC)-Universidad Autónoma de Madrid (UAM),
40748990,Targeting Myeloid Trem2 Reprograms the Immunosuppressive Niche and Potentiates Checkpoint Immunotherapy in NASH-Driven Hepatocarcinogenesis.,2025-Aug-01,Ziyi Wang; Xuehao Wang,Jiangsu Province,
40748595,A Real-World Retrospective Observational Study of Patients with Advanced/Recurrent Endometrial Cancer Across England.,2025-Aug-01,Jamie Wallis; Anthony Wesselbaum; Dirk Schneider; Kiera Heffernan; Barbara Mascialino; Kathryn Graham,gsk; The Beatson West of Scotland Cancer Centre; UK. jamie.wallis@arcturisdata.com.,
40748214,[Monocytes and cancer: fundamental insights and therapeutic perspectives].,2025-Aug-01,Hamza Oualhadj; Raja Hazime; Brahim Admou,Laboratoire de Recherche Biosciences; Faculté de Médecine et de Pharmacie,
40748168,Immuno-oncological effects of the α2-adrenoceptor agonist dexmedetomidine.,2025-Dec,Lucillia Bezu; Oliver Kepp; Guido Kroemer,Equipe labellisée par la Ligue contre le cancer; Centre de Recherche des Cordeliers,
40747799,Rationalizing Enhanced Affinity of Engineered T-Cell Receptors in Cancer Immunotherapy Through Interaction Energy Calculations and Residue Correlation Analysis.,2025-Aug-01,Mario Frezzini,Computer Science and Mathematics,
40747794,Overcoming immunotherapy resistance in non-small cell lung cancer: a narrative review of related factors.,2025-Aug-01,Liliana Gutiérrez-Babativa; Leonardo Rojas; Jairo Zuluaga; Oscar Arrieta; Andrés F Cardona,Thoracic Oncology Unit/General Direction; Mexico City; Instituto Nacional de Cancerología - INCaN; Thoracic Oncology Unit; Colombia.; Mexico.,
40747318,"Novel tryptophan 2,3-dioxygenase-targeted ruthenium(ii)-indole complex activates immunotherapy ",2025-Jul-30,Zheng-Qi Shen; Binglian Guo; Xiangyu Dai; Hanxue Liu; Meng Ren; Peisen Wang; Yating Zhang; Yinuo Xu; Zhi Su; Xuling Xue; Hong-Ke Liu,Jiangsu Collaborative Innovation Center of Biomedical Functional Materials,
40747233,Systemic treatment of liver cancer: Current status and future perspectives.,2025-Jul-27,Chun-Bo Li; Yu-Ting Ning; Nai-Ying Shen; Ben Wang; Han Xiao; Gang Luo,Jiangxi Province; Shaanxi Province,
40747229,Molecular tumor boards in pancreatic cancer with liver metastasis: A case report.,2025-Jul-27,Jing Tang,China. tj_0208@163.com.,
40747115,Self-propelled gas nanomotor-integrated microneedles for melanoma therapy: Dual-action in situ eradication and metastatic suppression.,2025-Oct,Chungchi Lee; Shanghui Huang; Huiling Liu; Xinyue He; Yifan Hao; Lizhi Zeng; Yuhan Li; Zijin Lv; Yiyang Xu; Rui Guo,Guangdong Provincial Engineering and Technological Research Centre for Drug Carrier Development,
40747030,Second Generation Tiancimycin-Based Antibody-Drug Conjugates Enabled by Highly Efficient Semi-synthetic Approach Specifically Targeting B-Cell Malignancies.,2025-Jul-28,Pankajavalli Thirugnanasambantham; Rakeb Tafesse; Natarajan Muthusamy,Columbus,
40746995,T cell epitope mapping reveals immunodominance of evolutionarily conserved regions within SARS-CoV-2 proteome.,2025-Aug-15,Denis Ruchnewitz; David Hoyos; Benjamin D Greenbaum,Computational Oncology; 50937 Cologne,
40746964,LPA,2024-Oct,Jingyue Yan; Diana D Kang; Shi Du; Yonger Xue; Binbin Deng; David W McComb; Yizhou Dong,Division of Pharmaceutics & Pharmacology; Columbus; Center for Electron Microscopy and Analysis,
40746669,"Real-World Validity of Tissue-Agnostic Circulating Tumor DNA Response Monitoring in Lung Cancers Treated With Chemotherapy, Immunotherapy, or Targeted Agents.",2025-Sep,Anne C Chiang; Russell W Madison; Zoe June Assaf; Alexander Fine; Yi Cao; Ole Gjoerup; Yanmei Huang; Dexter X Jin; Jason Hughes; Vladan Antic; Amanda Young; David Fabrizio; David Shames; Sophia Maund; Alexia Exarchos; Shailendra Lakhanpal; Lincoln W Pasquina; Katja Schulze,Inc.; Alabama Oncology; Section of Medical Oncology; Connecticut.; roche; genentech,
40746171,Real-world safety of HPV vaccines over 18 y: A comprehensive analysis of U.S. VAERS reports.,2025-Dec,Yonglong Su; Yirong Huang; Jinbao Wei; Xinjin Wang; Yanyan Zhou; Xiaohong Wu; Honghong Fu,Fujian Province,
40746070,Charting New Paths in Cancer Research: Insights from the Frontiers in Cancer Science Conference 2024.,2025-Aug-01,Kristijan Ramadan,Cancer Discovery and Regenerative Medicine Program,
40745368,Evaluating the efficacy of neoadjuvant immunotherapy combined with chemotherapy for stage IIIa non-small cell lung cancer.,2025-Jul-31,Yanbo Cheng,People's Republic of China. 15093068713@163.com.,
40744829,Risk Stratification for the Prognosis of Patients With pT3aN0M0 Clear Cell Renal Cell Carcinoma.,2025-Jul-11,Shigeki Koterazawa,takeda,
40744665,Mitochondrial Pathway Signature (MitoPS) predicts immunotherapy response and reveals NDUFB10 as a key immune regulator in lung adenocarcinoma.,2025-Jul-31,Lianmin Zhang; Peng Luo; Zhenfa Zhang,China zhangzhenfa@tmu.edu.cn luopeng@smu.edu.cn zhanglianmin1031@163.com.,
40744660,MIAT promotes tumor-infiltrating CD8,2025-Jul-31,Zhen-Hua Chen; Jian-Feng Wang,China zryywjf@163.com chenzhh75@mail.sysu.edu.cn.,
40744425,Targeting hepatocellular carcinoma：molecular mechanisms and clinical studies.,2025-Jul-29,Jun Wang,PR China. Electronic address: 2191149247@qq.com.,
40744051,The Lancet Commission on addressing the global hepatocellular carcinoma burden: comprehensive strategies from prevention to treatment.,2025-Jul-25,Richard S Finn; Josep M Llovet; Robin Kate Kelley; Jessica Zucman-Rossi,Translational Research in Hepatic Oncology; San Francisco; Helen Diller Family Comprehensive Cancer Centre; Division of Hematology/Oncology; Centre de Recherche des Cordeliers,
40744042,ESGO-ESTRO-ESP guidelines for the management of patients with endometrial carcinoma: update 2025.,2025-Aug,Nicole Concin; Nicoletta Colombo; Mansoor Raza Mirza; Nadeem R Abu-Rustum; Anna Fagotti; Gabriella Macchia; Ana Oaknin,Medical Oncology Service; Gynecologic Service; Radiation Oncology Unit; Gynecologic Program; Gynecologic Oncology Unit; Copenhagen; Austria. Electronic address: nicole.concin@meduniwien.ac.at.,
40744025,Who is responsible for cancer survivorship care?,2025-Aug,Alice Indini,Immunotherapy and Innovative Therapeutics Unit,
40743912,Prediction of clinical outcomes of immune checkpoint inhibitors in advanced head and neck cancer directly from histopathology slides using inferred transcriptomics.,2025-Jul-30,Omer Tirosh; Gal Dinstag; Leon Gugel; Yaron Kinar; Tzivia Gottlieb; Ranit Aharonov,Pangea Biomed Ltd; Israel. Electronic address: omer@pangeabiomed.com.,
40743869,Uterine leiomyosarcoma.,2025-Jun-30,Giuseppe Caruso; Robert L Coleman; Andrea Mariani; William Cliby; Mario M Leitao; Nadeem Abu Rustum; Ignace Vergote; Gian Franco Zannoni; David M O'Malley; Fernanda Herrera; Nicoletta Colombo,Columbus; Gynecology Service; Gynaecological Oncology; Texas Oncology; Division of Gynecologic Oncology; Departement doncologie CHUV-UNIL; US Oncology Network; roche; Largo Francesco Vito,
40743785,"The evolving role of multimodal imaging, artificial intelligence and radiomics in the radiologic assessment of immune related adverse events.",2025-Jul-28,Hong Y Ma; Dorine DeJong; Laurent Dercle; Kathleen M Capaccione,Inc.; USA. Electronic address: hym2103@cumc.columbia.edu.; USA. Electronic address: kmc2113@cumc.columbia.edu.; USA. Electronic address: ld2752@cumc.columbia.edu.,
40743771,MAGE-A3 as a target for cancer immunotherapy: A systematic review of clinical and preclinical evidence.,2025-Jul-30,Gaurang Telang; Smriti Mishra; Anurag Sureshbabu; Samruddhi Kulkarni; Shantanu Joshi,India. Electronic address: smritimishra44@gmail.com.; India. Electronic address: anuragsureshbabu@gmail.com.; India. Electronic address: samkul1823@gmail.com.; India. Electronic address: drjoshisr@gmail.com.; India. Electronic address: gaurangtelang98@gmail.com.; Acuere Biosciences Pvt. Ltd.,
